"","x"
"1","ENSG00000166819"
"2","ENSG00000145824"
"3","ENSG00000125730"
"4","ENSG00000182326"
"5","ENSG00000111341"
"6","ENSG00000087245"
"7","ENSG00000143387"
"8","ENSG00000100804"
"9","ENSG00000164692"
"10","ENSG00000011465"
"11","ENSG00000166482"
"12","ENSG00000087086"
"13","ENSG00000189058"
"14","ENSG00000138615"
"15","ENSG00000168701"
"16","ENSG00000168028"
"17","ENSG00000135926"
"18","ENSG00000139329"
"19","ENSG00000034971"
"20","ENSG00000115268"
"21","ENSG00000109107"
"22","ENSG00000131475"
"23","ENSG00000159403"
"24","ENSG00000257017"
"25","ENSG00000136235"
"26","ENSG00000165507"
"27","ENSG00000151365"
"28","ENSG00000115204"
"29","ENSG00000134333"
"30","ENSG00000197614"
"31","ENSG00000125356"
"32","ENSG00000176087"
"33","ENSG00000169740"
"34","ENSG00000140988"
"35","ENSG00000089157"
"36","ENSG00000135437"
"37","ENSG00000146674"
"38","ENSG00000183978"
"39","ENSG00000123349"
"40","ENSG00000176046"
"41","ENSG00000168542"
"42","ENSG00000101365"
"43","ENSG00000130173"
"44","ENSG00000181817"
"45","ENSG00000101439"
"46","ENSG00000142507"
"47","ENSG00000000971"
"48","ENSG00000179010"
"49","ENSG00000111640"
"50","ENSG00000132002"
"51","ENSG00000175567"
"52","ENSG00000100316"
"53","ENSG00000108298"
"54","ENSG00000114779"
"55","ENSG00000148180"
"56","ENSG00000198034"
"57","ENSG00000163430"
"58","ENSG00000122406"
"59","ENSG00000157150"
"60","ENSG00000130165"
"61","ENSG00000110077"
"62","ENSG00000099795"
"63","ENSG00000147403"
"64","ENSG00000188257"
"65","ENSG00000213088"
"66","ENSG00000175445"
"67","ENSG00000130066"
"68","ENSG00000005022"
"69","ENSG00000092330"
"70","ENSG00000196704"
"71","ENSG00000103363"
"72","ENSG00000204287"
"73","ENSG00000136859"
"74","ENSG00000185043"
"75","ENSG00000174080"
"76","ENSG00000173432"
"77","ENSG00000134809"
"78","ENSG00000231500"
"79","ENSG00000167515"
"80","ENSG00000128463"
"81","ENSG00000105640"
"82","ENSG00000167526"
"83","ENSG00000240583"
"84","ENSG00000125445"
"85","ENSG00000197956"
"86","ENSG00000174446"
"87","ENSG00000143947"
"88","ENSG00000188186"
"89","ENSG00000165810"
"90","ENSG00000186340"
"91","ENSG00000163382"
"92","ENSG00000149182"
"93","ENSG00000128272"
"94","ENSG00000134363"
"95","ENSG00000126749"
"96","ENSG00000102265"
"97","ENSG00000180992"
"98","ENSG00000175203"
"99","ENSG00000108821"
"100","ENSG00000100219"
"101","ENSG00000146859"
"102","ENSG00000169442"
"103","ENSG00000129055"
"104","ENSG00000175061"
"105","ENSG00000133063"
"106","ENSG00000198743"
"107","ENSG00000278931"
"108","ENSG00000010256"
"109","ENSG00000129009"
"110","ENSG00000168079"
"111","ENSG00000100075"
"112","ENSG00000143222"
"113","ENSG00000173511"
"114","ENSG00000177963"
"115","ENSG00000131669"
"116","ENSG00000175390"
"117","ENSG00000087111"
"118","ENSG00000143774"
"119","ENSG00000100417"
"120","ENSG00000147955"
"121","ENSG00000107874"
"122","ENSG00000256269"
"123","ENSG00000139641"
"124","ENSG00000174444"
"125","ENSG00000142534"
"126","ENSG00000170323"
"127","ENSG00000159111"
"128","ENSG00000161203"
"129","ENSG00000213719"
"130","ENSG00000013441"
"131","ENSG00000105677"
"132","ENSG00000185432"
"133","ENSG00000142089"
"134","ENSG00000106538"
"135","ENSG00000050426"
"136","ENSG00000198736"
"137","ENSG00000169964"
"138","ENSG00000134291"
"139","ENSG00000123689"
"140","ENSG00000157514"
"141","ENSG00000076706"
"142","ENSG00000135245"
"143","ENSG00000147604"
"144","ENSG00000175854"
"145","ENSG00000177697"
"146","ENSG00000197746"
"147","ENSG00000180879"
"148","ENSG00000270170"
"149","ENSG00000099194"
"150","ENSG00000141560"
"151","ENSG00000109846"
"152","ENSG00000083845"
"153","ENSG00000131143"
"154","ENSG00000128185"
"155","ENSG00000111669"
"156","ENSG00000162735"
"157","ENSG00000156508"
"158","ENSG00000163682"
"159","ENSG00000107175"
"160","ENSG00000113140"
"161","ENSG00000198931"
"162","ENSG00000149273"
"163","ENSG00000124762"
"164","ENSG00000148303"
"165","ENSG00000136718"
