"","x"
"1","ENSG00000145824"
"2","ENSG00000182326"
"3","ENSG00000125730"
"4","ENSG00000143387"
"5","ENSG00000100804"
"6","ENSG00000111341"
"7","ENSG00000115268"
"8","ENSG00000166819"
"9","ENSG00000148180"
"10","ENSG00000147403"
"11","ENSG00000168701"
"12","ENSG00000087086"
"13","ENSG00000166482"
"14","ENSG00000125445"
"15","ENSG00000123689"
"16","ENSG00000087245"
"17","ENSG00000005022"
"18","ENSG00000011465"
"19","ENSG00000034971"
"20","ENSG00000131475"
"21","ENSG00000128463"
"22","ENSG00000165507"
"23","ENSG00000168028"
"24","ENSG00000105640"
"25","ENSG00000099795"
"26","ENSG00000174807"
"27","ENSG00000140988"
"28","ENSG00000101335"
"29","ENSG00000189129"
"30","ENSG00000109107"
"31","ENSG00000189058"
"32","ENSG00000147604"
"33","ENSG00000108298"
"34","ENSG00000159111"
"35","ENSG00000063177"
"36","ENSG00000143947"
"37","ENSG00000231500"
"38","ENSG00000257017"
"39","ENSG00000151365"
"40","ENSG00000110077"
"41","ENSG00000159403"
"42","ENSG00000130165"
"43","ENSG00000135926"
"44","ENSG00000123349"
"45","ENSG00000169740"
"46","ENSG00000162244"
"47","ENSG00000169692"
"48","ENSG00000170323"
"49","ENSG00000149273"
"50","ENSG00000184009"
"51","ENSG00000167526"
"52","ENSG00000197766"
"53","ENSG00000115204"
"54","ENSG00000175567"
"55","ENSG00000135245"
"56","ENSG00000148303"
"57","ENSG00000100316"
"58","ENSG00000135424"
"59","ENSG00000176046"
"60","ENSG00000198034"
"61","ENSG00000164056"
"62","ENSG00000213462"
"63","ENSG00000110651"
"64","ENSG00000089157"
"65","ENSG00000111640"
"66","ENSG00000157150"
"67","ENSG00000130173"
"68","ENSG00000100219"
"69","ENSG00000137154"
"70","ENSG00000146674"
"71","ENSG00000168542"
"72","ENSG00000131097"
"73","ENSG00000149131"
"74","ENSG00000134333"
"75","ENSG00000135437"
"76","ENSG00000064205"
"77","ENSG00000131669"
"78","ENSG00000136859"
"79","ENSG00000163430"
"80","ENSG00000164692"
"81","ENSG00000000971"
"82","ENSG00000186340"
"83","ENSG00000197614"
"84","ENSG00000130066"
"85","ENSG00000176087"
"86","ENSG00000165810"
"87","ENSG00000181817"
"88","ENSG00000132002"
"89","ENSG00000187288"
"90","ENSG00000256269"
"91","ENSG00000131143"
"92","ENSG00000142507"
"93","ENSG00000145022"
"94","ENSG00000125356"
"95","ENSG00000196704"
"96","ENSG00000185896"
"97","ENSG00000161203"
"98","ENSG00000136235"
"99","ENSG00000156587"
"100","ENSG00000128272"
"101","ENSG00000101365"
"102","ENSG00000101439"
"103","ENSG00000198736"
"104","ENSG00000112936"
"105","ENSG00000092330"
"106","ENSG00000102265"
"107","ENSG00000179010"
"108","ENSG00000103363"
"109","ENSG00000143196"
"110","ENSG00000204628"
"111","ENSG00000181929"
"112","ENSG00000103507"
"113","ENSG00000161281"
"114","ENSG00000106538"
"115","ENSG00000129055"
"116","ENSG00000177697"
"117","ENSG00000089220"
"118","ENSG00000188257"
"119","ENSG00000174446"
"120","ENSG00000142156"
"121","ENSG00000173641"
"122","ENSG00000122406"
"123","ENSG00000163382"
"124","ENSG00000112306"
"125","ENSG00000173511"
"126","ENSG00000129009"
"127","ENSG00000138615"
"128","ENSG00000262179"
"129","ENSG00000185475"
"130","ENSG00000139641"
"131","ENSG00000178980"
"132","ENSG00000146859"
"133","ENSG00000128626"
"134","ENSG00000159423"
"135","ENSG00000184007"
"136","ENSG00000076706"
"137","ENSG00000173812"
"138","ENSG00000082438"
"139","ENSG00000198743"
"140","ENSG00000166441"
"141","ENSG00000147804"
"142","ENSG00000100129"
"143","ENSG00000126545"
"144","ENSG00000240583"
"145","ENSG00000278931"
"146","ENSG00000197956"
"147","ENSG00000172037"
"148","ENSG00000142089"
"149","ENSG00000125378"
"150","ENSG00000164631"
"151","ENSG00000127184"
"152","ENSG00000175390"
"153","ENSG00000143436"
"154","ENSG00000164879"
"155","ENSG00000160209"
"156","ENSG00000178307"
"157","ENSG00000107960"
"158","ENSG00000185043"
"159","ENSG00000119927"
"160","ENSG00000177963"
"161","ENSG00000213088"
"162","ENSG00000183978"
"163","ENSG00000197746"
"164","ENSG00000107223"
"165","ENSG00000139329"
"166","ENSG00000100075"
"167","ENSG00000196154"
"168","ENSG00000131721"
"169","ENSG00000010256"
"170","ENSG00000270170"
"171","ENSG00000147155"
"172","ENSG00000105058"
"173","ENSG00000112167"
"174","ENSG00000134291"
"175","ENSG00000105677"
"176","ENSG00000169964"
"177","ENSG00000105372"
