"","x"
"1","ENSG00000145824"
"2","ENSG00000125730"
"3","ENSG00000166819"
"4","ENSG00000111341"
"5","ENSG00000164692"
"6","ENSG00000182326"
"7","ENSG00000011465"
"8","ENSG00000087245"
"9","ENSG00000100804"
"10","ENSG00000143387"
"11","ENSG00000166482"
"12","ENSG00000138615"
"13","ENSG00000176087"
"14","ENSG00000146674"
"15","ENSG00000189058"
"16","ENSG00000087086"
"17","ENSG00000139329"
"18","ENSG00000188186"
"19","ENSG00000125356"
"20","ENSG00000134809"
"21","ENSG00000134333"
"22","ENSG00000175061"
"23","ENSG00000240583"
"24","ENSG00000135437"
"25","ENSG00000135926"
"26","ENSG00000115204"
"27","ENSG00000188643"
"28","ENSG00000159403"
"29","ENSG00000131475"
"30","ENSG00000140287"
"31","ENSG00000108821"
"32","ENSG00000175203"
"33","ENSG00000183978"
"34","ENSG00000181817"
"35","ENSG00000136235"
"36","ENSG00000179010"
"37","ENSG00000204287"
"38","ENSG00000174080"
"39","ENSG00000175445"
"40","ENSG00000257017"
"41","ENSG00000197614"
"42","ENSG00000152270"
"43","ENSG00000173209"
"44","ENSG00000185201"
"45","ENSG00000185043"
"46","ENSG00000000971"
"47","ENSG00000151365"
"48","ENSG00000168701"
"49","ENSG00000169740"
"50","ENSG00000168542"
"51","ENSG00000143222"
"52","ENSG00000167515"
"53","ENSG00000165507"
"54","ENSG00000114779"
"55","ENSG00000157514"
"56","ENSG00000196616"
"57","ENSG00000173432"
"58","ENSG00000213088"
"59","ENSG00000188257"
"60","ENSG00000156508"
"61","ENSG00000101365"
"62","ENSG00000013441"
"63","ENSG00000123349"
"64","ENSG00000168028"
"65","ENSG00000142507"
"66","ENSG00000125611"
"67","ENSG00000164032"
"68","ENSG00000118785"
"69","ENSG00000132002"
"70","ENSG00000100448"
"71","ENSG00000169442"
"72","ENSG00000149182"
"73","ENSG00000124762"
"74","ENSG00000109107"
"75","ENSG00000126749"
"76","ENSG00000176046"
"77","ENSG00000174444"
"78","ENSG00000147955"
"79","ENSG00000122406"
"80","ENSG00000128524"
"81","ENSG00000087111"
"82","ENSG00000107874"
"83","ENSG00000166147"
"84","ENSG00000134363"
"85","ENSG00000090382"
"86","ENSG00000134548"
"87","ENSG00000116016"
"88","ENSG00000169567"
"89","ENSG00000166228"
"90","ENSG00000140553"
"91","ENSG00000180879"
"92","ENSG00000198931"
"93","ENSG00000103363"
"94","ENSG00000134817"
"95","ENSG00000075624"
"96","ENSG00000157150"
"97","ENSG00000034971"
"98","ENSG00000167601"
"99","ENSG00000174348"
"100","ENSG00000180992"
"101","ENSG00000128185"
"102","ENSG00000158869"
"103","ENSG00000074071"
"104","ENSG00000196704"
"105","ENSG00000168079"
"106","ENSG00000175854"
"107","ENSG00000134339"
"108","ENSG00000179115"
"109","ENSG00000130066"
"110","ENSG00000142534"
"111","ENSG00000102265"
"112","ENSG00000067221"
"113","ENSG00000130173"
"114","ENSG00000198668"
"115","ENSG00000124733"
"116","ENSG00000138867"
"117","ENSG00000171928"
"118","ENSG00000174446"
"119","ENSG00000010256"
"120","ENSG00000136859"
"121","ENSG00000143774"
"122","ENSG00000213719"
"123","ENSG00000103502"
"124","ENSG00000177963"
"125","ENSG00000161981"
"126","ENSG00000100417"
"127","ENSG00000175390"
"128","ENSG00000099795"
"129","ENSG00000163430"
"130","ENSG00000050426"
"131","ENSG00000110108"
"132","ENSG00000146859"
"133","ENSG00000268205"
"134","ENSG00000129235"
"135","ENSG00000166619"
"136","ENSG00000198743"
"137","ENSG00000164530"
"138","ENSG00000092010"
"139","ENSG00000110799"
"140","ENSG00000134201"
"141","ENSG00000254999"
"142","ENSG00000089157"
"143","ENSG00000172057"
"144","ENSG00000165502"
"145","ENSG00000105677"
"146","ENSG00000171314"
"147","ENSG00000138085"
"148","ENSG00000130811"
"149","ENSG00000174307"
"150","ENSG00000160307"
"151","ENSG00000112695"
"152","ENSG00000163382"
"153","ENSG00000107175"
"154","ENSG00000149600"
"155","ENSG00000055732"
"156","ENSG00000116649"
"157","ENSG00000156735"
"158","ENSG00000100410"
"159","ENSG00000173559"
"160","ENSG00000159348"
"161","ENSG00000164587"
"162","ENSG00000134575"
"163","ENSG00000169738"
"164","ENSG00000101246"
"165","ENSG00000129559"
"166","ENSG00000106538"
"167","ENSG00000133398"
"168","ENSG00000166927"
"169","ENSG00000111669"
"170","ENSG00000145337"
"171","ENSG00000148175"
"172","ENSG00000163359"
"173","ENSG00000162735"
"174","ENSG00000101856"
