Gene_ID,Ensembl_ID,Gene_Name,Gene_Biotype,Gene_Length
ENSG00000223972_DDX11L1,ENSG00000223972,DDX11L1,transcribed_unprocessed_pseudogene,2541
ENSG00000227232_WASH7P,ENSG00000227232,WASH7P,unprocessed_pseudogene,15167
ENSG00000278267_MIR6859-1,ENSG00000278267,MIR6859-1,miRNA,68
ENSG00000243485_MIR1302-2HG,ENSG00000243485,MIR1302-2HG,lincRNA,1556
ENSG00000284332_MIR1302-2,ENSG00000284332,MIR1302-2,miRNA,138
ENSG00000237613_FAM138A,ENSG00000237613,FAM138A,lincRNA,1528
ENSG00000268020_OR4G4P,ENSG00000268020,OR4G4P,unprocessed_pseudogene,840
ENSG00000240361_OR4G11P,ENSG00000240361,OR4G11P,transcribed_unprocessed_pseudogene,6519
ENSG00000186092_OR4F5,ENSG00000186092,OR4F5,protein_coding,6167
ENSG00000238009_AL627309.1,ENSG00000238009,AL627309.1,lincRNA,44429
ENSG00000239945_AL627309.3,ENSG00000239945,AL627309.3,lincRNA,1555
ENSG00000233750_CICP27,ENSG00000233750,CICP27,processed_pseudogene,3812
ENSG00000268903_AL627309.6,ENSG00000268903,AL627309.6,processed_pseudogene,755
ENSG00000269981_AL627309.7,ENSG00000269981,AL627309.7,processed_pseudogene,284
ENSG00000239906_AL627309.2,ENSG00000239906,AL627309.2,antisense,550
ENSG00000241860_AL627309.5,ENSG00000241860,AL627309.5,processed_transcript,32389
ENSG00000222623_RNU6-1100P,ENSG00000222623,RNU6-1100P,snRNA,104
ENSG00000241599_AL627309.4,ENSG00000241599,AL627309.4,lincRNA,1080
ENSG00000279928_FO538757.2,ENSG00000279928,FO538757.2,unprocessed_pseudogene,1479
ENSG00000279457_FO538757.1,ENSG00000279457,FO538757.1,unprocessed_pseudogene,10195
ENSG00000273874_MIR6859-2,ENSG00000273874,MIR6859-2,miRNA,68
ENSG00000228463_AP006222.1,ENSG00000228463,AP006222.1,transcribed_processed_pseudogene,101818
ENSG00000236679_RPL23AP24,ENSG00000236679,RPL23AP24,processed_pseudogene,385
ENSG00000236601_AL732372.1,ENSG00000236601,AL732372.1,lincRNA,7196
ENSG00000237094_AL732372.2,ENSG00000237094,AL732372.2,transcribed_unprocessed_pseudogene,157540
ENSG00000269732_WBP1LP7,ENSG00000269732,WBP1LP7,processed_pseudogene,363
ENSG00000284733_OR4F29,ENSG00000284733,OR4F29,protein_coding,995
ENSG00000233653_CICP7,ENSG00000233653,CICP7,processed_pseudogene,2806
ENSG00000250575_AL732372.3,ENSG00000250575,AL732372.3,unprocessed_pseudogene,2017
ENSG00000278757_RF00026,ENSG00000278757,RF00026,snRNA,104
ENSG00000230021_AL669831.3,ENSG00000230021,AL669831.3,transcribed_processed_pseudogene,241726
ENSG00000235146_AC114498.1,ENSG00000235146,AC114498.1,lincRNA,7140
ENSG00000225972_MTND1P23,ENSG00000225972,MTND1P23,unprocessed_pseudogene,372
ENSG00000225630_MTND2P28,ENSG00000225630,MTND2P28,unprocessed_pseudogene,1044
ENSG00000237973_MTCO1P12,ENSG00000237973,MTCO1P12,unprocessed_pseudogene,1543
ENSG00000278791_MIR6723,ENSG00000278791,MIR6723,miRNA,89
ENSG00000229344_MTCO2P12,ENSG00000229344,MTCO2P12,unprocessed_pseudogene,682
ENSG00000240409_MTATP8P1,ENSG00000240409,MTATP8P1,unprocessed_pseudogene,207
ENSG00000248527_MTATP6P1,ENSG00000248527,MTATP6P1,unprocessed_pseudogene,681
ENSG00000198744_MTCO3P12,ENSG00000198744,MTCO3P12,unprocessed_pseudogene,547
ENSG00000268663_WBP1LP6,ENSG00000268663,WBP1LP6,processed_pseudogene,424
ENSG00000284662_OR4F16,ENSG00000284662,OR4F16,protein_coding,995
ENSG00000229376_CICP3,ENSG00000229376,CICP3,processed_pseudogene,2812
ENSG00000228327_AL669831.1,ENSG00000228327,AL669831.1,transcribed_unprocessed_pseudogene,52742
ENSG00000223181_RNU6-1199P,ENSG00000223181,RNU6-1199P,snRNA,104
ENSG00000229905_AL669831.2,ENSG00000229905,AL669831.2,antisense,1079
ENSG00000237491_AL669831.5,ENSG00000237491,AL669831.5,lincRNA,31291
ENSG00000285268_AL669831.7,ENSG00000285268,AL669831.7,transcribed_processed_pseudogene,114
ENSG00000230092_AL669831.4,ENSG00000230092,AL669831.4,transcribed_unprocessed_pseudogene,16834
ENSG00000177757_FAM87B,ENSG00000177757,FAM87B,lincRNA,2467
ENSG00000228794_LINC01128,ENSG00000228794,LINC01128,processed_transcript,34309
ENSG00000225880_LINC00115,ENSG00000225880,LINC00115,lincRNA,1317
ENSG00000230368_FAM41C,ENSG00000230368,FAM41C,lincRNA,8833
ENSG00000234711_TUBB8P11,ENSG00000234711,TUBB8P11,unprocessed_pseudogene,1058
ENSG00000283040_AL669831.6,ENSG00000283040,AL669831.6,transcribed_unprocessed_pseudogene,2706
ENSG00000272438_AL645608.6,ENSG00000272438,AL645608.6,lincRNA,11143
ENSG00000230699_AL645608.2,ENSG00000230699,AL645608.2,lincRNA,3514
ENSG00000241180_AL645608.4,ENSG00000241180,AL645608.4,lincRNA,801
ENSG00000223764_LINC02593,ENSG00000223764,LINC02593,lincRNA,4152
